id,simulation_id,frequency,G_prime,G_double_prime
353,2,6.275853,3912.141,18160.97
354,2,5.705321,3453.914,16738.61
355,2,5.186656,3043.519,15417.69
356,2,4.715141,2676.572,14191.74
357,2,4.286492,2349.102,13054.68
358,2,3.896811,2057.493,12000.79
359,2,3.542556,1798.44,11024.71
360,2,3.220505,1568.899,10121.41
361,2,2.927732,1366.057,9286.179
362,2,2.661574,1187.301,8514.573
363,2,2.419613,1030.196,7802.417
364,2,2.199648,892.4797,7145.76
365,2,1.99968,772.0522,6540.856
366,2,1.817891,666.9757,5984.146
367,2,1.652628,575.4746,5472.251
368,2,1.502389,495.9345,5001.959
369,2,1.365809,426.8994,4570.229
370,2,1.241644,367.0667,4174.184
371,2,1.128767,315.2786,3811.115
372,2,1.026152,270.5116,3478.48
373,2,0.9328656,231.8642,3173.9
374,2,0.8480596,198.5438,2895.157
375,2,0.7709633,169.8544,2640.188
376,2,0.7008757,145.1843,2407.077
377,2,0.6371598,123.9965,2194.047
378,2,0.5792361,105.8196,1999.452
379,2,0.5265783,90.24054,1821.766
380,2,0.4787076,76.89803,1659.581
381,2,0.4351887,65.47749,1511.595
382,2,0.3956261,55.70593,1376.603
383,2,0.3596601,47.34757,1253.497
384,2,0.3269637,40.19971,1141.257
385,2,0.2972397,34.0888,1038.943
386,2,0.2702179,28.86666,945.6946
387,2,0.2456527,24.40698,860.7209
388,2,0.2233206,20.60212,783.2994
389,2,0.2030187,17.36011,712.7689
390,2,0.1845625,14.60214,648.5253
391,2,0.1677841,12.26038,590.0165
392,2,0.152531,10.27619,536.7387
393,2,0.1386645,8.59875,488.2313
394,2,0.1260587,7.183872,444.0738
395,2,0.1145988,5.993164,403.8822
396,2,0.1041807,4.993289,367.3052
397,2,0.09470974,4.155378,334.0223
398,2,0.08609976,3.454514,303.7406
399,2,0.07827251,2.869277,276.1924
400,2,0.07115683,2.381329,251.1336
401,2,0.06468803,1.975038,228.3411
402,2,0.0588073,1.637129,207.6117
403,2,0.05346118,1.356373,188.7599
404,2,0.04860107,1.123303,171.6166
405,2,0.04418279,0.9299606,156.0277
406,2,0.04016617,0.7696723,141.8529
407,2,0.0365147,0.6368563,128.9644
