id,simulation_id,time,G_t
738,3,2.113255,165457.4
739,3,2.535906,154222.9
740,3,3.043088,143459.9
741,3,3.651705,133184.2
742,3,4.382046,123405.5
743,3,5.258455,114126.0
744,3,6.310146,105340.0
745,3,7.572176,97034.91
746,3,9.086611,89192.77
747,3,10.90393,81791.82
748,3,13.08472,74808.26
749,3,15.70166,68217.86
750,3,18.842,61997.95
751,3,22.6104,56129.5
752,3,27.13247,50598.33
753,3,32.55897,45394.85
754,3,39.07076,40512.54
755,3,46.88492,35946.28
756,3,56.2619,31691.55
757,3,67.51428,27744.86
758,3,81.01714,24104.7
759,3,97.22056,20771.89
760,3,116.6647,17748.5
761,3,139.9976,15035.46
762,3,167.9971,12629.46
763,3,201.5966,10520.47
764,3,241.9159,8691.11
765,3,290.299,7118.164
766,3,348.3589,5775.555
767,3,418.0306,4637.449
768,3,501.6367,3680.269
769,3,601.9641,2883.232
770,3,722.3569,2227.768
771,3,866.8283,1696.598
772,3,1040.194,1273.073
773,3,1248.233,941.0535
774,3,1497.879,685.2283
775,3,1797.455,491.5503
776,3,2156.946,347.5572
777,3,2588.335,242.4866
778,3,3106.003,167.2453
779,3,3727.203,114.3147
780,3,4472.644,77.63095
781,3,5367.172,52.4489
782,3,6440.607,35.19541
783,3,7728.728,23.31066
784,3,9274.474,15.06677
785,3,11129.37,9.358666
786,3,13355.24,5.48824
787,3,16026.29,2.981572
788,3,19231.55,1.470754
789,3,23077.86,0.6443854
790,3,27693.43,0.2444382
791,3,33232.12,0.07784898
792,3,39878.54,0.02004925
793,3,47854.25,0.003989284
794,3,57425.1,0.0005805091
795,3,68910.12,5.786325e-05
796,3,82692.14,3.654793e-06
797,3,99230.57,1.333343e-07
798,3,119076.7,2.515322e-09
799,3,142892.0,2.14935e-11
800,3,171470.4,7.098047e-14
801,3,205764.5,7.488413e-17
802,3,246917.4,2.008355e-20
803,3,296300.9,1.040984e-24
804,3,355561.1,7.505095e-30
805,3,426673.3,5.071972e-36
806,3,512007.9,2.000942e-43
807,3,614409.5,2.610552e-52
808,3,737291.4,5.695354e-63
809,3,884749.7,9.166984e-76
810,3,1061700.0,4.077619e-91
811,3,1274040.0,1.542886e-109
